City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Katsuura,JP,35.1333,140.3,75.2,93,100,15.95,overcast clouds
275,Shubarkuduk,KZ,49.1447,56.4872,72.7,52,68,8.7,broken clouds
276,Bumba,CD,2.1833,22.4667,77.05,73,99,2.66,overcast clouds
277,Erenhot,CN,43.6475,111.9767,75.74,29,53,3.31,broken clouds
278,Kumluca,TR,36.3703,30.2869,80.65,67,0,2.37,clear sky
279,Breyten,ZA,-26.3018,29.987,46.53,58,0,3.11,clear sky
280,Cidreira,BR,-30.1811,-50.2056,63.91,85,100,12.95,overcast clouds
281,Jinchang,CN,38.4953,102.1739,76.37,39,66,6.44,broken clouds
282,Codrington,AU,-38.2667,141.9667,42.39,94,1,7.31,clear sky
283,Husavik,IS,66.0449,-17.3389,55.83,68,87,9.66,overcast clouds
284,Tiksi,RU,71.6872,128.8694,50.13,58,64,12.26,broken clouds
285,Sawakin,SD,19.1059,37.3321,91.27,56,90,5.23,overcast clouds
286,Hlukhiv,UA,51.6782,33.9162,60.19,88,84,4.18,broken clouds
287,Udachnyy,RU,66.4167,112.4,53.46,71,21,6.26,few clouds
288,Anaco,VE,9.4389,-64.4728,92.3,39,92,9.44,overcast clouds
289,Huarmey,PE,-10.0681,-78.1522,68.04,71,77,11.65,broken clouds
290,General Roca,AR,-39.0333,-67.5833,57.74,28,39,6.46,scattered clouds
291,Saint-Pierre,RE,-21.3393,55.4781,68.92,68,20,19.57,few clouds
292,Maarianhamina,AX,60.0973,19.9348,62.46,55,0,10.36,clear sky
293,Marsh Harbour,BS,26.5412,-77.0636,83.97,68,8,11.39,clear sky
294,Cordoba,AR,-31.4135,-64.1811,79.23,40,0,10.36,clear sky
295,Moyale,KE,3.5167,39.0584,68.61,47,58,7.07,broken clouds
296,Yellowknife,CA,62.456,-114.3525,63.12,88,75,11.5,light intensity shower rain
297,Balabac,PH,7.9868,117.0645,80.62,83,100,21.36,light rain
298,Lubango,AO,-14.9172,13.4925,58.17,57,4,5.7,clear sky
299,Praia,CV,14.9215,-23.5087,81.14,61,75,13.8,broken clouds
300,Lasa,IT,46.6166,10.7002,76.08,54,45,5.97,scattered clouds
301,Gat,IL,31.61,34.7642,81.81,7,0,5.39,clear sky
302,Igrim,RU,63.1906,64.4162,69.44,59,32,4.23,scattered clouds
303,Tirlyanskiy,RU,54.2109,58.5806,60.51,88,53,1.7,broken clouds
304,Cadolzburg,DE,49.4573,10.8533,72.79,57,20,6.91,few clouds
