City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Nouadhibou,MR,71.58,scattered clouds,20.931,-17.0347,El Medina
529,Noumea,NC,75.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
530,Porto Velho,BR,89.65,broken clouds,-8.7619,-63.9039,Ecos Hotel Conforto
531,Tura,IN,76.21,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
532,San Juan,AR,77.0,clear sky,-31.5375,-68.5364,Hotel Provincial
533,Kousseri,CM,89.56,few clouds,12.0769,15.0306,Le Pilotis
534,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
535,Lata,PT,90.48,clear sky,40.1629,-8.3327,Casa Maquia
540,Yashkul,RU,83.17,scattered clouds,46.1711,45.3435,"Gostinitsa ""Putnik"""
544,Miramar,US,93.99,scattered clouds,25.9873,-80.2323,Stadium Hotel
545,Guozhen,CN,83.98,overcast clouds,34.3659,107.359,Yucai Hotel
546,Biltine,TD,93.22,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
547,Sioux Lookout,CA,77.07,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
548,Tambun,ID,80.49,broken clouds,-6.2641,107.0712,Metland Hotel Bekasi
550,Lakhtar,IN,81.19,overcast clouds,22.85,71.7833,Firdaus Society
551,Robertsport,LR,75.69,moderate rain,6.7533,-11.3686,Kwepunha Retreat
557,Masallatah,LY,76.66,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
558,Entre Rios,BR,79.03,scattered clouds,-11.9419,-38.0844,Pousada Porteira
559,San Pedro,PH,83.35,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
560,Mountain Home,US,80.08,clear sky,43.133,-115.6912,Mountain Home Inn
562,Manzanillo,CU,87.91,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
567,Nhulunbuy,AU,70.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
568,Auki,SB,75.65,broken clouds,-8.7676,160.7034,Auki Motel
569,Matamoros,MX,91.02,scattered clouds,25.5333,-103.25,Quinta Belem
570,Santa Rosa,PH,84.11,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
572,Hami,CN,87.8,broken clouds,42.8,93.45,Laoyutang Resort
573,Luyang,CN,77.47,few clouds,27.6239,110.0989,Zhijia Fashion Hotel
574,Mazatlan,MX,89.91,broken clouds,23.2167,-106.4167,Hotel La Siesta
575,Villena,ES,87.03,clear sky,38.6373,-0.8657,Hotel Restaurante Salvadora
577,Patan,NP,71.98,broken clouds,27.6667,85.3333,Hotel Himalaya
579,San Felipe,VE,87.08,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
581,Jardim,BR,93.04,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
582,Mecca,SA,94.91,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
583,Semnan,IR,91.24,clear sky,35.5729,53.3971,Semnan Tourist Hotel
586,Jishou,CN,78.98,few clouds,28.3167,109.7167,7 Days Inn
588,Lac Du Bonnet,CA,84.36,broken clouds,50.2536,-96.0612,Drifter's Inn
589,Brewster,US,84.4,clear sky,41.3973,-73.6171,Heidi's Inn
592,Kirakira,SB,77.9,few clouds,-10.4544,161.9205,SanBiz Lodge
593,Caninde,BR,88.09,scattered clouds,-4.3589,-39.3117,Hotel Casa Grande II
594,Barinas,VE,84.24,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
595,Sao Gabriel Da Cachoeira,BR,78.6,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
596,Eydhafushi,MV,82.49,scattered clouds,5.1033,73.0708,Soneva Fushi
604,Ban Tak,TH,79.21,overcast clouds,17.0432,99.0813,Bansuansiriwat
605,Mandla,IN,79.99,scattered clouds,22.6,80.3833,Bison Resort
609,Kondagaon,IN,72.39,light rain,19.6,81.6667,AYAN MOTER
610,Buala,SB,78.62,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
611,Trairi,BR,84.47,broken clouds,-3.2778,-39.2689,janelas do mar
615,Bafoulabe,ML,94.46,scattered clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
617,Kota Kinabalu,MY,73.38,few clouds,5.9749,116.0724,Gaya Centre Hotel
618,Maturin,VE,83.52,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
620,Srandakan,ID,74.82,few clouds,-7.9386,110.2506,Puri Brata
621,Huilong,CN,84.92,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
622,Maanshan,CN,82.45,broken clouds,31.6957,118.4983,天目湖酒店
623,Kurud,IN,78.78,light rain,20.8322,81.7214,HOTEL DEWANGAN
624,Gopalpur,IN,81.34,broken clouds,19.2667,84.9167,Gopalpur Palm Resort
625,Yarmouth,US,78.94,clear sky,41.7057,-70.2286,Blue Rock Resort
628,Barcelos,PT,91.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
